"name","age","club","boat","gender","country","type"
"Nesta Chetwynd",NA,"FCRCC","K","M","CAN",NA
"Nevin Harrison",NA,"SCKC","C","F","USA",NA
"Niamh Gibbons",NA,"NCKC","K","F","CAN",NA
"Nikkos Wang",NA,"BCKC","K","M","CAN",NA
"Noah MacMartin",NA,"FCRCC","K","M","CAN",NA
"Noah Malenfant",NA,"NKCC","K","M","CAN",NA
"Noah Said",NA,"RCKC","C","M","CAN",NA
"Noah Stubbing",NA,"NCKC","K","M","CAN",NA
"Oliver Esseltine",NA,"PCA","C","M","CAN",NA
"Oliver Farquhar",NA,"GHCKRT","C","M","USA",NA
"Olivia Eccleston",NA,"KCKC","K","F","CAN",NA
"Oscar McManus",NA,"FCRCC","K","M","CAN",NA
"Owen Jennings",NA,"SCKC","K","M","USA",NA
"Owen Mitchell",NA,"NCKC","K","M","CAN",NA
"Owen Turner",NA,"PMPC","K","M","CAN",NA
"Owen White",NA,"SCKC","C","M","USA",NA
"Paili Airth",NA,"BYPS","K","F","USA",NA
"Paisley McKenzie",NA,"BCKC","C","F","CAN",NA
"Parker Smith",NA,"GHCKRT","K","F","USA",NA
"Patrik Armitano",NA,"KCKT","K","M","USA",NA
"Paula Airth",NA,"BYPS","K","F","USA",NA
"Quinn Phare",NA,"PCA","C","M","CAN",NA
"Quinn Thomson",NA,"BCKC","C","M","CAN",NA
"Reece Boulanger",NA,"NKCC","K","M","CAN",NA
"Rielle Hein",NA,"NCKC","K","F","CAN",NA
"Roan Szucs",NA,"CCC","K","M","CAN",NA
"Rogan Parry",NA,"YCKC","K","M","CAN",NA
"Rory Ohr",NA,"GHCKRT","K","F","USA",NA
"Rowan Gow",NA,"FLCC","K","M","CAN",NA
"Ruby Trand",NA,"PCA","K","F","CAN",NA
"Ryan Coueffin",NA,"BCKC","K","M","CAN",NA
"Ryan Farber",NA,"GHCKRT","K","M","USA",NA
"Ryan Wurts",NA,"GHCKRT","K","M","USA",NA
"Sadie Hanks",NA,"GHCKRT","C","F","USA",NA
"Sally Greenwood",NA,"BYPS","K","F","USA",NA
"Salomon Ali",NA,"NCKC","K","M","CAN",NA
"Sam Fasullo",NA,"FLCC","K","M","CAN",NA
"Samantha Loutet",NA,"BCKC","C","F","CAN",NA
"Samuel Hao",NA,"FLCC","K","M","CAN",NA
"Samuel Rosenthal",NA,"RCKC","K","M","CAN",NA
"Sandy Gillard",NA,"BYPS","K","F","USA",NA
"Sara Priestley",NA,"KCKC","K","F","CAN",NA
"Sarah Grady",NA,"GHCKRT","C","F","USA",NA
"Sean Allen",NA,"CCC","K","M","CAN",NA
"Sean Wurts",NA,"GHCKRT","K","M","USA",NA
"Sebastian Rangel Ortega",NA,"BCKC","K","M","CAN",NA
"Shania Modha",NA,"RCKC","K","F","CAN",NA
"Sharon Kim",NA,"RCKC","K","F","CAN",NA
"Sharon Scoggins",NA,"BYPS","K","F","USA",NA
"Shayla Thom",NA,"BCKC","K","F","CAN",NA
"Shikari King",NA,"PCA","C","M","CAN",NA
"Sierra Noskoff",NA,"BYPS","K","F","USA",NA
"Siobhan Gibbons",NA,"NCKC","K","F","CAN",NA
"Stanley Netherton",NA,"KCKC","K","M","CAN",NA
"Stephen Wang",NA,"RCKC","K","M","CAN",NA
"Steve Scoggins",NA,"BYPS","K","M","USA",NA
"Sydney Berridge",NA,"RCKC","K","F","CAN",NA
"Sydney Lutz",NA,"CCC","K","F","CAN",NA
"Talia Clarke",NA,"BYPS","K","F","USA",NA
"Tamar Clark",NA,"BYPS","K","F","USA",NA
"Tano Cappellini",NA,"BCKC","K","M","CAN",NA
"Tasmin Carlow-Ujiie",NA,"FCRCC","C","F","CAN",NA
"Tate Huizenga",NA,"BYPS","K","M","USA",NA
"Teegan Letwin",NA,"NCKC","K","F","CAN",NA
"Teona Holban",NA,"BCKC","K","F","CAN",NA
"Tess Nuttall",NA,"NKCC","K","F","CAN",NA
"Tessa Timmermans",NA,"NKCC","K","F","CAN",NA
"Thomas Colhoun",NA,"BCKC","K","M","CAN",NA
"Thomas Duff",NA,"NCKC","K","M","CAN",NA
"Thorben Shroeder",NA,"NCKC","K","M","CAN",NA
"Tiana Alexander",NA,"BCKC","K","F","CAN",NA
"Tiffany Yau",NA,"FCRCC","K","F","CAN",NA
"Tom Swetish",NA,"BYPS","K","M","USA",NA
"Tomoki MacMartin",NA,"FCRCC","K","M","CAN",NA
"Tyler Billing",NA,"BCKC","K","M","CAN",NA
"Tyson Priestley",NA,"KCKC","K","M","CAN",NA
"Ula Langdon",NA,"BCKC","C","F","CAN",NA
"Vanessa Galindo",NA,"BCKC","C","F","CAN",NA
"Verna McNichol",NA,"RCKC","K","F","CAN",NA
"Vladimir Demishkevich",NA,"KCKC","K","M","CAN",NA
"West Yip",NA,"BCKC","K","M","CAN",NA
"Wilf Payne",NA,"RCKC","K","M","CAN",NA
"Willem Naffin",NA,"CCC","K","M","CAN",NA
"Ydris Hunter",NA,"FCRCC","C","M","CAN",NA
"Zachary McGiverin",NA,"BYPS","K","M","USA",NA
"Zeela Woodard",NA,"GHCKRT","K","F","USA",NA
"Zorianna Garza",NA,"CCC","K","F","CAN",NA
